outcode,epc,hpr,lat,long
WR11,66.2,0.93,52.0958405,-1.9290168
WR9,65.4,0.94,52.2667884,-2.1583548
B96,53.9,0.83,52.2517197,-1.9602473
WR10,64.4,0.93,52.1149851,-2.0671085
GL20,61.0,0.9,52.0022332,-2.132268
WR12,63.5,0.9,52.0414013,-1.8704376
WR3,68.9,0.97,52.2169397,-2.2139652
WR5,70.9,1.03,52.1748639,-2.2020856
WR7,55.3,0.89,52.1965989,-2.0491854
CV37,56.9,0.91,52.1827385,-1.715127
DY11,70.8,1.0,52.3845094,-2.2621081
DY10,49.9,0.81,52.386159,-2.2238755
B60,61.6,0.91,52.3240959,-2.0491825
DY13,53.5,0.86,52.3367283,-2.2813551
B61,49.0,0.8,52.3464135,-2.068307
WR8,51.5,0.89,52.074811,-2.2066668
WR6,38.1,0.75,52.2298799,-2.3821575
B49,57.9,0.86,52.2178973,-1.866774
B50,52.4,0.82,52.1683483,-1.8562373
