district,epc,hpr
LL19,60.3,0.85
LL16,56.8,0.84
LL18,57.8,0.82
LL17,58.5,0.86
LL15,56.9,0.86
LL21,49.3,0.79
LL11,63.9,0.94
LL20,57.9,0.81
CH7,46.6,0.82
LL22,43.3,0.79
RH18,82.0,1.06
CH8,48.0,0.9
