outcode,epc,hpr,lat,long
YO41,52.2,0.84,53.9705289,-0.9005201
YO17,59.9,0.89,54.1367836,-0.7568135
YO62,56.5,0.85,54.2461752,-0.9943394
YO7,45.6,0.84,54.2246863,-1.3514255
YO18,60.7,0.88,54.2589315,-0.7690067
YO60,48.9,0.82,54.0861015,-0.9389498
YO12,55.5,0.9,54.273341,-0.4249517
YO13,53.8,0.8,54.287425,-0.4992911
YO19,47.0,0.77,53.905948,-1.0207826
DL6,35.2,0.73,54.371022,-1.3904975
YO25,55.5,0.91,54.0040772,-0.4163603
YO61,47.8,0.79,54.1179291,-1.1960242
TS9,51.3,0.79,54.4659991,-1.1652944
YO32,53.9,0.8,54.0124771,-1.0593934
TF2,82.0,1.15,52.7002332,-2.4399297
