sector,epc,hpr,lat,long
BH19 2,61.4,0.84,-1.9647327276595743,50.606532961702136
BH16 6,64.2,0.93,-2.073230814371257,50.74708541916171
BH22 0,64.8,0.94,-1.88107355214724,50.82332861963189
DT11 8,58.7,0.85,-2.1640100486111105,50.90321334722219
DT1 3,79.4,1.08,-2.463811652173912,50.713989555555536
DT10 2,60.1,0.91,-2.363183743697479,50.92919244957982
DT4 0,65.7,0.9,-2.471771988721802,50.611175695488754
BH21 1,64.4,0.89,-1.9811749569536423,50.795625718543015
SP8 4,66.9,0.96,-2.276103378548896,51.038790356466826
DT2 7,52.6,0.86,-2.39071889247312,50.7969892903226
DT1 2,65.1,0.91,-2.4421942441860467,50.7079726627907
DT2 9,60.1,0.9,-2.529475568690096,50.728278859424925
BH22 8,64.3,0.93,-1.884774073643412,50.79348997286819
DT11 7,66.7,0.92,-2.159389854368932,50.86185641423945
DT3 5,63.7,0.91,-2.465903691983123,50.64447962447257
DT5 2,62.9,0.86,-2.444928013698631,50.53892632876711
BH21 3,64.5,0.94,-2.012223695970695,50.77365689743586
DT4 9,63.3,0.89,-2.4762708793103445,50.6024169862069
BH20 7,59.6,0.89,-2.15914326060606,50.73339094545455
DT10 1,62.2,0.91,-2.30503767281106,50.947266751152064
DT5 1,64.0,0.84,-2.440202820359282,50.55742211377244
DT2 0,49.9,0.83,-2.606561179894178,50.809158433862464
DT7 3,60.3,0.85,-2.947479954063605,50.7294169964664
BH31 6,65.5,0.97,-1.872626658653848,50.87453530769229
DT4 7,63.5,0.84,-2.4538805963302748,50.619963798165145
DT11 0,57.9,0.88,-2.258893248062015,50.84657253488367
BH19 1,64.8,0.89,-1.9628084111675133,50.61447859390865
DT8 3,57.9,0.88,-2.758919172413793,50.81981331896549
DT6 4,60.5,0.89,-2.737828288617887,50.720820097561
BH16 5,66.4,0.94,-2.029478721991701,50.73576313278013
DT9 4,64.1,0.92,-2.5259851469387766,50.96637709387759
DT3 4,64.3,0.96,-2.5226129494949494,50.63736845959597
DT6 3,61.5,0.85,-2.744467976271188,50.7415355322034
DT1 1,67.1,0.89,-2.4351119860139856,50.71351072027973
SP8 5,52.0,0.84,-2.310864925311202,51.03540783817427
DT2 8,60.4,0.91,-2.341548095930234,50.6980644912791
BH22 9,65.5,0.94,-1.896323741818182,50.805512639999954
DT4 8,60.8,0.8,-2.455242082926829,50.606493146341485
BH20 6,66.5,0.94,-2.223523124183007,50.68727707189542
DT3 6,66.1,0.95,-2.428639782608695,50.64343499604742
BH19 3,57.7,0.88,-1.9989681150442475,50.61681199115043
SP7 9,63.1,0.92,-2.173847329729729,51.02692915135136
SP7 0,51.7,0.85,-2.184664551136363,50.97896518750001
BH21 2,66.2,0.95,-1.9585984270462613,50.80308775800711
DT6 6,53.7,0.83,-2.862706398148149,50.74156511111111
DT9 6,58.8,0.91,-2.556525182203389,50.91311238135596
SP7 8,69.2,0.97,-2.1916128455598454,51.00684160617758
BH21 8,52.3,0.87,-1.923517958333333,50.88122883333333
SP5 5,51.8,0.86,-1.9997688536585372,50.9915631414634
BH21 6,63.8,0.94,-1.881899733333333,50.84893934666668
BH24 2,64.8,0.97,-1.8341424297520657,50.83167285950412
BA21 5,58.2,0.91,-2.61325830827068,50.95445201503761
DT6 5,61.0,0.88,-2.774604476394852,50.75363478111587
DT9 3,62.0,0.83,-2.51573189119171,50.94769942487044
BH21 5,45.8,0.74,-1.97731683006536,50.89339109150327
DT11 9,63.6,0.94,-2.1510824466019414,50.82269540291266
DT9 5,55.6,0.87,-2.4628307027027034,50.93982444594595
BH21 7,55.6,0.89,-1.9381178376963355,50.824739471204175
BH31 7,69.4,1.01,-1.8736487619047608,50.88054672619048
SP6 3,63.2,0.94,-1.8443854083769635,50.94011672774872
BH20 5,55.2,0.83,-2.1194343695652185,50.64259122282609
BH20 4,64.6,0.91,-2.113485649532711,50.68979242990655
BA22 9,52.1,0.87,-2.6686566454183267,50.908881573705166
BH16 3,56.0,0.62,nan,nan
BH21 4,67.0,0.97,-2.0242210000000007,50.809470796992485
TA20 4,50.3,0.82,-2.9063594970059885,50.85390368862279
SP6 1,60.7,0.84,-1.799986050000001,50.93132235454545
TA18 8,47.3,0.75,-2.7982626565656554,50.87394320202021
BH18 9,62.2,0.94,-2.005114406896551,50.76087614482759
EX13 5,38.6,0.72,-2.985125075907592,50.78248320462046
BH13 7,30.8,0.61,-1.9276377650602403,50.702424993975896
HA2 6,81.0,0.97,-0.3552907032258064,51.59351365161291
BH10 7,66.0,1.04,-1.8907699557522128,50.76906280530974
EX13 7,37.4,0.81,-3.0319104879032275,50.80004793145159
BH31 9,82.6,1.09,-1.851334,50.86834
BA8 0,56.0,0.85,-2.411792947368421,50.996345334928215
SP8 9,69.0,0.9,-2.272465,51.0365385
BH15 1,54.0,1.01,-1.982295123287672,50.71513857990867
BH19 7,82.0,1.15,nan,nan
DT4 5,70.5,1.1,nan,nan
BH16 7,83.0,1.12,nan,nan
BH23 6,62.0,0.95,-1.8301065660377351,50.77901684905661
DT10 8,79.0,1.17,nan,nan
BA9 8,35.0,0.81,-2.423011288000001,51.064885703999984
SP7 1,41.0,0.72,nan,nan
DT9 1,66.0,0.98,nan,nan
BH21 9,84.0,1.18,-1.984904,50.7979455
