outcode,epc,hpr,lat,long
BH19,62.4,0.87,50.611489,-1.97082
BH16,65.6,0.94,50.740203,-2.0474413
BH22,64.9,0.94,50.8053042,-1.888586
DT11,62.3,0.9,50.8615403,-2.1834102
DT1,69.4,0.95,50.7118787,-2.4448216
DT10,61.2,0.91,50.9376061,-2.3343561
DT4,63.7,0.87,50.6095897,-2.4654498
BH21,62.7,0.91,50.8125355,-1.974537
SP8,63.3,0.93,51.0373048,-2.2910983
DT2,56.9,0.88,50.7497424,-2.4509175
DT3,64.8,0.94,50.6422651,-2.4683307
DT5,63.5,0.85,50.5488467,-2.4424653
BH20,62.0,0.9,50.6871662,-2.1485991
DT7,60.3,0.85,50.7294287,-2.9474704
BH31,66.6,0.98,50.8760396,-1.872606
DT8,57.9,0.88,50.8199071,-2.7589018
DT6,59.7,0.87,50.7391695,-2.7754498
DT9,60.6,0.89,50.9420485,-2.5162283
SP7,65.7,0.94,51.0050805,-2.1843108
SP5,51.8,0.86,51.021579,-1.770351
BH24,64.8,0.97,50.8432801,-1.7884673
BA21,58.2,0.91,50.9520712,-2.6336799
SP6,63.2,0.94,50.9365589,-1.8023782
BA22,52.1,0.87,50.9695037,-2.6381055
TA20,50.3,0.82,50.8735523,-2.9622162
TA18,47.3,0.75,50.8829255,-2.7874829
BH18,62.2,0.94,50.7595167,-1.9984276
EX13,37.9,0.77,50.7871097,-3.0071442
BH13,30.8,0.61,50.7088605,-1.920442
HA2,81.0,0.97,51.5736982,-0.3612317
BH10,66.0,1.04,50.7595614,-1.8929555
BA8,56.0,0.85,50.9962542,-2.411865
BH15,54.0,1.01,50.7223607,-1.985506
BH23,62.0,0.95,50.7475595,-1.7543605
BA9,35.0,0.81,51.0576908,-2.4101382
