district,epc,hpr
SA73,62.6,0.87
SA68,55.5,0.89
SA67,56.4,0.88
SA64,56.5,0.8
SA69,61.1,0.91
SA65,58.6,0.85
SA71,61.0,0.89
SA41,50.6,0.85
SA61,64.1,0.88
SA62,54.1,0.87
SA72,62.6,0.84
SA63,52.9,0.87
SA43,47.1,0.78
SA37,47.2,0.8
SA70,59.7,0.85
SA36,47.8,0.81
SA66,48.9,0.81
SA42,54.8,0.82
SA35,44.5,0.78
SA34,48.3,0.83
SA32,81.0,1.12
