sector,epc,hpr,lat,long
SA73 1,62.0,0.89,-4.970170533073932,51.71848987548637
SA68 0,55.5,0.89,-4.764834381578948,51.729561546052615
SA67 7,64.1,0.91,-4.7328811827957,51.80388394623657
SA64 0,56.5,0.8,-5.012465180952381,52.00210419047619
SA69 9,61.1,0.91,-4.70681779220779,51.71098262987013
SA65 9,58.6,0.85,-4.96975708,51.98794257
SA73 2,62.4,0.83,-5.031022920903953,51.71653726553673
SA71 5,54.8,0.87,-4.940908376190474,51.66037176666669
SA41 3,50.6,0.85,-4.705892036363636,51.9952336
SA61 1,64.5,0.89,-4.975744504166662,51.79576957083338
SA61 2,63.5,0.86,-4.972479764150945,51.80531182547168
SA62 5,50.5,0.83,-5.024987483271378,51.920520289962816
SA72 6,63.6,0.84,-4.942879229885059,51.6912431111111
SA63 4,52.9,0.87,-4.856260172413795,51.87432645977011
SA43 3,49.8,0.78,-4.688094424242424,52.07405778787879
SA62 4,56.7,0.91,-4.927238711864406,51.78912879096045
SA73 3,63.7,0.88,-5.050503604166667,51.71685274479167
SA71 4,65.8,0.91,-4.916758989795914,51.67629451530613
SA37 0,47.2,0.8,-4.593227762711865,52.01593366101694
SA62 3,55.2,0.87,-5.084084186311787,51.75884767300379
SA70 8,59.2,0.9,-4.760552768518518,51.67998097685185
SA62 6,54.2,0.86,-5.164556867796615,51.87338116610167
SA70 7,60.2,0.8,-4.722970946859904,51.664872338164216
SA67 8,51.6,0.87,-4.732350173745178,51.7749671776062
SA36 0,47.8,0.81,-4.608354818181818,51.95775681818182
SA66 7,48.9,0.81,-4.745099839506175,51.88367028395062
SA43 2,42.5,0.78,-4.578623713043477,52.08931241304344
SA42 0,54.8,0.82,-4.85252655194805,52.015453012987
SA35 0,44.5,0.78,-4.558538069767442,51.9712586744186
SA34 0,48.3,0.83,-4.618880030303028,51.852002168831184
SA72 4,49.6,0.85,-4.890749093023257,51.69526760465115
SA32 4,81.0,1.12,nan,nan
SA65 5,45.0,1.01,nan,nan
SA61 6,57.0,1.05,nan,nan
SA70 6,49.3,0.59,nan,nan
SA69 6,43.0,0.72,nan,nan
SA69 7,76.0,0.99,nan,nan
SA67 4,64.0,0.81,nan,nan
SA61 5,61.0,1.0,nan,nan
SA62 2,72.0,1.16,nan,nan
SA72 8,7.0,0.52,nan,nan
SA67 1,82.7,1.17,nan,nan
SA73 6,65.5,0.65,nan,nan
