postcode,epc,hpr
SY16 1PU,61.8,0.78
SY16 3HH,44.5,0.78
SY18 6JG,62.0,0.91
SY16 3LZ,62.4,0.93
SY16 1PY,62.8,0.72
LD3 8EL,31.7,0.64
HR3 5EG,65.0,0.95
SA9 1BD,54.2,0.71
SY22 5LE,30.4,0.7
SY21 0RF,30.6,0.6
SY16 1QB,66.0,0.81
SA9 1HD,46.3,0.63
SY16 4EN,46.8,0.75
LD1 5TN,34.3,0.76
LD8 2EE,45.2,0.76
SY15 6RE,64.0,1.01
SY22 5JG,52.3,0.86
LD6 5EP,70.7,0.96
LD8 2LD,35.6,0.81
SY10 0NP,63.1,1.01
LD8 2DG,65.6,1.0
LD3 7HZ,61.0,0.92
HR3 5NW,65.6,1.0
LD1 5SH,68.1,1.01
LD1 6SS,51.0,0.84
SY20 8JB,70.3,1.0
SA9 1HY,65.7,0.93
LD3 7EE,76.1,1.01
SY16 4LL,47.7,0.72
LD7 1RF,60.8,0.95
SY22 6PD,50.2,0.85
LD7 1YL,55.5,0.97
SY22 6BY,33.0,0.66
LD1 5SF,38.7,0.75
LD1 5EH,59.9,0.84
SY20 8BS,42.5,0.65
LD1 6BE,70.9,0.99
LD3 9LF,71.1,0.89
LD1 5UF,45.0,0.77
LD7 1HT,64.8,0.93
SY21 0QH,37.9,0.81
SY15 6BB,70.8,1.02
SY16 2QQ,66.9,1.0
SY16 1QQ,69.0,0.9
SY22 6AH,36.8,0.7
SY21 7TE,54.0,0.92
LD1 5NB,63.9,0.84
NP8 1LS,50.6,0.84
SY22 6TB,50.9,0.82
SY10 7QB,48.7,0.8
LD1 5TS,55.0,0.99
LD2 3YJ,77.0,1.04
SY15 6PG,60.1,0.88
LD8 2ST,53.4,0.89
LD3 9HH,63.0,0.93
SY16 1QH,65.8,0.87
LD6 5EE,73.5,1.0
SY22 6DY,66.1,1.01
SY17 5JY,38.1,0.72
SY22 5BZ,61.6,0.91
LD3 8UP,43.6,0.68
LD3 8DF,66.4,0.96
LD5 4RH,53.1,0.7
LD1 5YA,68.4,0.86
LD2 3TQ,55.3,0.92
SY16 1RJ,70.9,1.01
SY17 5PU,56.7,0.89
SY16 3GA,79.1,1.1
LD5 4TL,37.2,0.71
SY20 8HZ,58.5,1.01
SY21 7SF,66.3,0.86
SY19 7AA,52.9,0.83
SY17 5JR,48.2,0.79
LD7 1SB,55.7,0.97
SY16 1PS,62.8,0.87
SY21 8DS,65.9,1.02
LD2 3YX,40.2,0.68
SY16 3GB,79.8,1.12
SA9 1DZ,53.1,0.73
SY18 6LL,25.8,0.68
LD3 0TL,49.0,0.81
SY21 7PA,64.9,1.0
SY15 6NW,42.7,0.86
LD3 7BN,61.0,0.61
SY17 5PH,51.8,0.8
LD7 1LE,64.9,0.97
LD1 5NY,56.8,0.96
LD3 8LT,64.0,0.93
SY21 0RU,55.6,0.94
SA9 1RA,59.3,0.85
SY18 6ER,69.9,0.95
LD3 8EY,20.7,0.55
SY22 6BQ,55.2,0.97
SY17 5HQ,66.2,0.98
SY20 8EA,70.1,0.94
SY16 2FD,84.0,1.13
SY21 7DB,69.9,1.04
SY16 2DH,53.5,0.74
SY15 6TE,52.8,0.75
SA9 1QS,60.5,0.88
SY15 6RU,45.7,0.87
LD2 3RH,42.5,0.59
SY15 6PD,48.9,0.87
SY21 7NY,65.9,0.96
LD3 9ER,63.6,0.94
LD2 3FL,46.5,0.89
SY21 8LQ,60.8,0.99
SY17 5ED,51.0,0.74
LD1 5SE,40.0,0.68
SY20 8EJ,61.9,0.92
LD1 6RF,41.8,0.72
LD6 5DS,43.7,0.61
SY18 6NP,42.0,0.68
LD8 2AG,54.1,0.74
LD2 3JN,68.7,1.01
SY16 1RR,84.3,1.16
LD1 5RU,39.0,0.67
SY21 7QB,54.0,0.88
SY16 1LS,74.4,0.99
SA9 1GW,59.4,0.99
LD2 3JP,45.2,0.76
SY22 6XS,44.1,0.75
LD3 8UT,41.0,0.94
LD1 6NN,46.5,0.81
LD3 0LB,65.2,0.98
HR3 5NS,33.7,0.71
SY21 7QA,64.2,0.94
LD1 5HF,62.4,0.75
LD3 7RE,63.8,0.86
SY18 6NW,38.0,0.57
LD2 3HS,30.5,0.57
SY15 6QQ,47.1,0.85
LD3 0ET,35.7,0.78
LD4 4BD,42.8,0.73
LD3 8PG,48.8,0.7
LD3 9DT,54.4,0.76
LD3 0BQ,46.7,0.71
LD1 6RA,62.7,0.96
LD2 3HE,61.9,0.9
SY15 6RD,59.5,0.97
SY10 7PS,45.4,0.72
LD3 9SP,27.3,0.59
SY18 6BG,70.8,1.03
SY21 0BE,70.5,0.98
LD1 5HS,59.6,0.73
LD1 5DH,58.5,0.76
LD8 2AJ,72.0,1.03
SY21 0AU,69.8,1.04
SY21 8TU,45.5,0.74
LD2 3DH,70.1,1.0
SY16 2HU,66.5,0.99
SY15 6AP,46.3,0.93
SY16 1RQ,69.8,0.98
NP8 1ET,52.2,0.89
SY22 6UH,58.0,0.96
SY22 5DL,67.8,1.01
LD3 0YZ,83.2,1.14
SA9 1XJ,58.4,0.98
SY21 8NN,42.0,0.78
LD3 9PD,48.9,0.86
LD2 3LE,68.9,1.01
SA9 1GE,30.8,0.6
SY18 6EA,59.0,0.95
SY21 0EP,47.8,0.87
SY16 1QD,62.5,0.69
SY19 7AL,59.7,0.89
SA9 2TW,55.9,0.75
SY22 5HS,33.2,0.73
NP8 1HT,42.5,0.79
LD8 2PD,58.1,0.92
SA9 1YS,56.3,0.89
LD3 0YG,50.0,0.78
LD3 0AR,56.3,0.94
SY15 6LF,72.4,1.04
SY15 6TA,38.7,0.76
SY21 7HL,60.1,0.84
SY16 4JU,42.5,0.85
LD3 7TG,60.7,0.84
LD6 5AY,51.1,0.61
SA9 1BJ,59.2,0.61
LD3 8TR,57.8,0.91
SY18 6AS,52.0,0.6
SY18 6EJ,64.9,0.76
LD3 7BX,48.5,0.77
LD1 5DB,52.2,0.74
SA9 1BE,60.5,0.73
SY16 2TG,64.0,0.95
SY21 0NW,59.1,0.97
SY17 5NW,51.0,0.84
LD3 7SW,57.0,0.95
SY16 4NU,40.5,0.69
LD3 0HR,50.7,0.82
SA9 2TT,45.2,0.78
SY16 2QR,76.8,1.04
NP8 1HF,36.4,0.61
LD7 1HY,58.2,0.88
NP8 1HY,65.4,0.88
LD3 9AQ,83.0,1.18
SY18 6DY,69.7,1.01
SY20 8HY,67.9,0.96
LD1 5UE,51.4,0.82
SY21 9DZ,71.0,1.07
LD3 8YF,45.0,0.73
LD3 0BN,57.2,0.69
SY16 2HG,71.7,0.99
LD3 9AB,56.5,0.65
LD8 2TE,46.2,0.68
LD2 3EP,63.4,0.92
LD3 8AY,58.6,0.67
NP8 1DQ,67.6,1.01
SY16 1PX,56.8,0.69
NP8 1BR,79.5,1.07
LD1 5SA,54.7,0.94
LD3 9LG,55.2,0.72
HR3 5SP,44.9,0.82
SY21 9EA,56.4,1.01
LD2 3PL,51.0,0.81
LD1 5BH,49.9,0.71
