outcode,epc,hpr,lat,long
EC4Y,66.1,0.76,51.512938,-0.1088079
EC3N,67.9,0.89,51.5119304,-0.0770379
EC4V,70.0,0.89,51.5124476,-0.099878
EC2Y,66.1,0.79,51.5194073,-0.0935545
EC1A,72.9,0.92,51.5203315,-0.1039346
EC4M,70.9,0.88,51.5142792,-0.0993846
EC2M,59.0,0.79,51.5185932,-0.0862326
EC1N,73.5,1.01,51.5198912,-0.1087995
EC4A,64.3,0.83,51.5157778,-0.1082509
EC3R,75.7,0.97,51.5104555,-0.0835753
EC1Y,63.3,0.59,51.5230455,-0.0924717
EC3A,78.1,0.87,51.5147892,-0.0802178
E1,71.9,0.86,51.5173859,-0.0595023
EC2N,58.0,0.75,51.5157712,-0.0855193
EC4R,66.7,0.84,51.5108121,-0.0904232
EC3M,73.0,0.77,51.5118135,-0.0821665
EC3,77.0,1.05,nan,nan
WC1V,64.9,0.74,51.5180929,-0.1165884
EC2R,41.5,0.63,51.5160606,-0.0909709
EC1M,67.9,0.84,51.5213505,-0.1023129
EC4N,54.8,0.8,51.5128988,-0.0914843
EC3V,56.5,0.68,51.5129745,-0.0858623
WC2A,74.6,0.85,51.5162229,-0.1142197
EC2V,55.4,0.77,51.5155673,-0.0937819
EC1,75.0,0.96,nan,nan
EC2A,74.0,0.71,51.5237066,-0.0855916
EC2,72.0,1.05,nan,nan
EC4,72.0,0.96,nan,nan
LU7,84.0,1.18,51.9072379,-0.6629591
