outcode,epc,hpr,lat,long
IP27,60.3,0.92,52.4302192,0.5819065
IP28,64.6,0.97,52.3308885,0.5278417
IP24,59.0,0.88,52.419832,0.757916
CB9,67.1,0.93,52.0833705,0.439697
IP32,72.1,1.0,52.2546724,0.7191907
IP33,65.3,0.88,52.2429658,0.7086249
IP31,60.8,0.91,52.2925866,0.8356002
CB8,63.8,0.89,52.2302078,0.4279081
IP29,57.4,0.92,52.190897,0.6587294
CO10,57.9,0.85,52.058478,0.7211086
IP30,57.8,0.89,52.209224,0.8464525
CB7,44.8,0.93,52.3612799,0.3252127
IP22,52.9,0.87,52.3759592,1.0527441
YO31,62.0,1.07,53.9699082,-1.0644173
SW18,81.0,1.03,51.4512533,-0.191462
