sector,epc,hpr,lat,long
NN16 9,66.4,0.89,-0.7209197459283391,52.41154607166124
NN10 6,72.4,1.0,-0.6088184479999998,52.29738706400001
NN8 6,85.0,1.16,-0.7238100517241377,52.31316163793101
PE8 4,67.5,0.93,-0.471067409356725,52.48553912865496
NN18 8,76.2,1.05,-0.7008231500000002,52.473287017857125
NN16 0,68.3,0.87,-0.7156094558823527,52.40140130392157
NN14 4,70.6,1.0,-0.5509323863636365,52.38632555519482
NN8 3,70.8,0.95,-0.7179124506437766,52.30109059656654
NN9 5,68.6,0.96,-0.6420494985590778,52.33028088760802
NN8 2,68.8,0.93,-0.7006382523809525,52.29165129047621
NN10 9,66.8,0.89,-0.6060763903508769,52.28613520614035
PE8 6,66.6,1.0,-0.4373624221453288,52.56716921453285
NN15 5,71.0,0.97,-0.6860078031088082,52.37625442487042
LE16 8,60.4,0.9,-0.8312183742514968,52.49647674850301
NN16 8,64.2,0.81,-0.7293642438016528,52.4032483429752
NN9 6,71.7,1.0,-0.5408939085173506,52.339677829652985
NN29 7,64.0,0.88,-0.6648299676258994,52.25808591007194
NN8 1,73.1,0.97,-0.6801529110169493,52.30343380508474
NN17 3,76.1,1.06,-0.6360144480519483,52.517247896103896
NN8 4,68.7,0.92,-0.6921226431226762,52.31014296282528
NN17 5,85.5,1.13,-0.6516209090909088,52.503070933884295
NN18 0,68.0,0.9,-0.7214641062801933,52.48586115458937
NN17 1,69.1,0.92,-0.693530842975207,52.493188454545454
NN17 2,68.0,0.91,-0.7146916614785991,52.49936380155645
NN15 7,70.4,0.94,-0.7264571404494383,52.394232567415735
NN6 0,69.1,0.94,-0.7714372746781116,52.27552091416309
NN14 6,72.7,0.99,-0.8003937391304344,52.42226239130435
NN8 5,67.7,0.96,-0.7124998549618319,52.31118665648855
NN14 2,68.8,0.94,-0.8205962266666664,52.44326124888887
NN15 6,73.5,1.0,-0.709011356321839,52.3831194971264
NN14 1,65.2,0.93,-0.7486104884488445,52.39949709240928
NN10 0,67.6,0.91,-0.5890602870662462,52.28750195583597
NN18 9,69.0,0.94,-0.7226535151515152,52.47576559393942
NN10 8,68.0,0.93,-0.5946609491525422,52.30845675141242
PE8 5,52.7,0.86,-0.4666490454545455,52.484328301136365
NN14 3,57.5,0.84,-0.5652853611111108,52.424554625000006
PE9 3,59.6,0.85,-0.4918620734693879,52.630166106122495
NN17 4,76.0,1.05,-0.6919658857142859,52.50752831428571
NN7 1,61.1,0.89,-0.7705597928571427,52.22299329999999
LE15 8,62.8,0.85,-0.6582772761506278,52.63984646025109
NN15 4,84.8,1.17,-0.6820750666666667,52.38989173333333
NN6 9,52.9,0.9,-0.874358916666667,52.34048220192306
NN14 5,83.0,1.18,nan,nan
NN15 1,82.0,1.17,nan,nan
