outcode,epc,hpr,lat,long
SK3,61.9,0.83,53.3982575,-2.172193
SK8,61.9,0.88,53.3796923,-2.2090903
SK6,62.1,0.87,53.4051341,-2.080279
SK7,62.1,0.88,53.3695112,-2.1434037
SK5,64.8,0.88,53.4351388,-2.1525459
SK2,62.1,0.85,53.3943065,-2.1323676
SK1,65.9,0.86,53.4075932,-2.1515586
SK4,60.8,0.83,53.4194666,-2.1817251
M19,67.8,0.95,53.4364131,-2.1963069
SK12,60.4,0.89,53.3514172,-2.0924709
SK22,56.1,0.78,53.3725343,-1.9846946
SK14,45.2,0.74,53.4520427,-2.0566162
M22,66.1,0.92,53.3858702,-2.2600788
