postcode,epc,hpr,lat,long
WD17,67.2,0.86,51.663945,-0.4056406
WD25,68.1,0.89,51.6870777,-0.3877274
WD24,62.7,0.77,51.6737504,-0.3981532
WD18,69.0,0.86,51.6491262,-0.4146492
WD19,62.9,0.79,51.6308706,-0.390642
WD23,62.7,0.86,51.6452717,-0.3580507
WD4,82.7,1.09,51.7059771,-0.4564485
WD64,75.0,1.08,51.67557494,-0.3188486199999999
N5,85.0,1.06,51.5538671,-0.0986076
CM24,82.0,1.03,51.8992323,0.2039133
WD3,79.0,1.13,51.6466313,-0.4824803
WD1,70.0,0.71,51.67557494,-0.3188486199999999
WD2,64.0,0.8,51.67557494,-0.3188486199999999
