postcode,epc,hpr,lat,long
BS20,69.3,0.95,51.4806147,-2.7535558
BS23,61.8,0.81,51.3430959,-2.9718955
BS22,65.5,0.93,51.3610555,-2.9293627
BS21,62.4,0.85,51.4350533,-2.8498455
BS48,63.3,0.91,51.4251376,-2.7478067
BS49,66.8,0.94,51.3829265,-2.8123525
BS40,60.7,0.89,51.346529,-2.6919383
BS24,72.4,1.01,51.3303607,-2.9292938
BS41,65.1,0.9,51.4220916,-2.6534866
BS25,64.9,0.93,51.3199339,-2.820467
BS29,66.1,0.94,51.3306402,-2.8750405
BS8,57.8,0.88,51.4575672,-2.6221985
BS13,81.1,1.08,51.4120999,-2.6119989
BS26,40.1,0.74,51.2788645,-2.8569371
BS87,68.0,0.65,51.3509303,-2.78475892
BA20,81.0,1.16,50.937984,-2.6452044
BS17,60.0,1.0,51.3509303,-2.78475892
