postcode,epc,hpr,lat,long
NR31,64.8,0.89,52.5749904,1.708835
NR30,60.9,0.81,52.6197388,1.7277361
NR29,52.5,0.88,52.6942516,1.6362126
HA7,81.0,1.08,51.6113081,-0.3106331
LS8,84.0,1.11,53.8247746,-1.5094795
DA1,81.0,1.14,51.4480982,0.209464
TA21,81.0,1.16,50.9777888,-3.2445571
LE16,53.0,1.06,52.4861071,-0.8959935
S45,83.0,1.09,53.1656275,-1.4213229
NR13,50.0,0.74,52.6338547,1.4697849
L6,82.0,1.02,53.4189254,-2.9515685
HP1,77.0,1.05,51.7566422,-0.4869619
BN27,87.0,1.15,50.8718389,0.2634568
HP8,75.0,1.05,51.6384149,-0.5700237
RH1,81.0,0.92,51.2373631,-0.1576051
BA9,83.0,1.18,51.0576908,-2.4101382
