postcode,epc,hpr,lat,long
B64,63.8,0.88,52.4725264,-2.0694635
B66,62.9,0.81,52.4926661,-1.9647632
B69,63.6,0.87,52.5027111,-2.030311
B68,60.1,0.81,52.4785994,-2.0014018
DY4,65.8,0.89,52.5328792,-2.0552638
B70,65.6,0.88,52.5209224,-2.0044143
WS10,62.7,0.85,52.5606417,-2.0224958
B65,63.2,0.87,52.4836373,-2.0437814
B67,56.4,0.7,52.485705,-1.9787293
B43,60.6,0.83,52.5485092,-1.9307835
WS5,66.5,0.94,52.5659951,-1.9583275
B71,63.4,0.86,52.5360066,-1.9904942
B16,75.8,1.0,52.4771886,-1.9342144
B62,63.5,0.91,52.4571593,-2.0337937
WV14,67.0,0.98,52.5572984,-2.0789308
B42,60.3,0.85,52.5346593,-1.9124526
B17,39.0,0.48,52.461233,-1.9586781
B18,61.2,0.62,52.4913461,-1.9255863
WV13,35.0,0.76,52.5851575,-2.0581222
WV10,82.0,1.0,52.6191468,-2.1134738
B21,66.5,0.71,52.506938,-1.9415679
