postcode,epc,hpr,lat,long
CB23,69.0,0.99,52.2151042,-0.0318968
CB21,61.8,0.92,52.128038,0.2815412
SG8,62.6,0.94,52.0643705,-0.0147945
CB22,65.2,0.91,52.1284294,0.1354878
CB24,68.5,0.96,52.2782051,0.0817273
CB25,66.2,0.94,52.2608073,0.2541302
CB5,73.1,1.0,52.2123417,0.1539646
CB1,66.3,0.95,52.1953297,0.1420534
SG19,62.4,0.91,52.1394738,-0.2395501
CB8,54.6,0.88,52.2302078,0.4279081
CB4,79.2,1.03,52.2229046,0.1298349
CB3,67.6,0.93,52.212482,0.0981705
CB10,55.4,0.79,52.028753,0.2627396
PE19,53.7,0.88,52.2359693,-0.2636521
CB2,84.7,1.12,52.1858693,0.1231567
PE28,56.0,0.87,52.3588328,-0.1906381
SG7,48.9,0.77,52.0045147,-0.1754105
CB27,87.0,1.18,52.17694465,0.0896927333333333
CB9,50.0,0.8,52.0833705,0.439697
