postcode,epc,hpr,lat,long
TN33,60.5,0.88,50.9114028,0.4750454
TN40,63.8,0.86,50.8450642,0.4824058
TN39,63.1,0.88,50.8468689,0.4514689
TN31,58.2,0.87,50.962869,0.6855793
TN5,60.1,0.87,51.0590304,0.3650914
TN36,57.7,0.85,50.920303,0.6990613
TN35,60.5,0.88,50.8828713,0.6140004
TN32,53.6,0.83,50.9791601,0.4904213
TN19,56.6,0.85,51.0027867,0.4058702
TN21,45.0,0.78,50.9581826,0.2628954
TN38,49.8,0.81,50.8637392,0.543696
BN24,45.0,0.83,50.8167744,0.3261108
TN37,60.9,0.89,50.8723505,0.5572632
TN18,62.5,0.9,51.0428062,0.5226677
TN34,53.5,0.84,50.8650015,0.5821191
