postcode,epc,hpr,lat,long
B33,62.0,0.84,52.4802868,-1.7884156
B24,59.5,0.79,52.5196415,-1.8271375
B9,59.0,0.73,52.4781837,-1.8508904
B20,58.8,0.74,52.515504,-1.9192015
B36,57.8,0.75,52.5042044,-1.7784585
B31,64.3,0.87,52.4081108,-1.9733848
B73,58.4,0.79,52.5537182,-1.841907
B15,70.0,0.89,52.4661665,-1.9233802
B23,61.3,0.81,52.5285384,-1.8553035
B21,56.0,0.68,52.506938,-1.9415679
B4,76.9,1.01,52.4857738,-1.8928567
B29,61.4,0.79,52.4376384,-1.947722
B27,57.6,0.73,52.4445575,-1.8228123
B76,63.5,0.9,52.5434894,-1.7825543
B30,61.0,0.78,52.421961,-1.9277595
B18,65.1,0.84,52.4913461,-1.9255863
B8,57.8,0.7,52.4911095,-1.8413277
B28,57.8,0.75,52.4272318,-1.8432114
B19,64.2,0.81,52.4971338,-1.9057716
B16,63.8,0.82,52.4771886,-1.9342144
B17,59.3,0.76,52.461233,-1.9586781
B1,73.8,0.98,52.4799811,-1.9091472
B14,59.2,0.78,52.4173564,-1.8898132
B32,61.6,0.83,52.4486238,-1.9945407
B44,58.4,0.77,52.5456674,-1.8850992
B38,63.5,0.87,52.3999018,-1.9347197
B12,64.1,0.81,52.4607564,-1.8836558
B75,62.7,0.88,52.578728,-1.808515
B74,61.8,0.86,52.5843126,-1.8621609
B13,59.4,0.76,52.4375032,-1.8790028
B42,61.5,0.81,52.5346593,-1.9124526
B35,70.2,0.92,52.5188542,-1.7890673
B45,64.1,0.86,52.3885168,-2.0090938
B26,59.1,0.78,52.4615675,-1.7887486
B10,57.0,0.69,52.4695926,-1.8523465
B34,63.2,0.85,52.4964133,-1.7817039
B6,59.4,0.73,52.5051401,-1.8860786
B11,56.8,0.68,52.4544936,-1.8581324
B25,57.5,0.73,52.4649901,-1.8219999
B5,71.5,0.94,52.4694163,-1.8975868
B3,71.5,0.97,52.4850123,-1.9024305
B72,59.4,0.8,52.5501949,-1.8219989
B7,66.9,0.87,52.4941549,-1.8723775
B2,69.3,0.92,52.4893361,-1.8965236
B43,57.8,0.83,52.5485092,-1.9307835
B62,61.0,0.91,52.4571593,-2.0337937
B37,61.6,0.78,52.4784345,-1.7421791
B47,56.5,0.78,52.3852897,-1.8800827
B92,67.7,0.97,52.4372881,-1.7739201
B80,78.0,1.17,52.2735522,-1.8923001
E5,74.0,1.08,51.5588861,-0.0537874
B39,38.0,0.48,52.456086342307685,-1.843062451923077
B98,74.0,1.05,52.3022428,-1.9130643
