postcode,epc,hpr,lat,long
L5,66.8,0.89,53.4248813,-2.9771396
L6,61.2,0.78,53.4189254,-2.9515685
L25,64.6,0.88,53.3788522,-2.8636656
L7,63.0,0.81,53.4057417,-2.9499885
L19,61.9,0.82,53.3589357,-2.9033178
L3,72.3,0.96,53.4084083,-2.984451
L17,62.5,0.78,53.3775853,-2.9406564
L14,65.3,0.9,53.4179489,-2.8808404
L24,69.2,0.96,53.3434469,-2.8391389
L18,58.7,0.76,53.3805747,-2.9083261
L12,62.6,0.88,53.4349803,-2.8958012
L1,74.8,0.98,53.4023772,-2.9804999
L4,59.9,0.76,53.437841,-2.9612931
L9,60.3,0.79,53.4613892,-2.9536021
L13,58.9,0.74,53.4184709,-2.9204372
L8,65.3,0.83,53.3898761,-2.9636387
L10,64.3,0.9,53.4744835,-2.9266207
L2,69.7,0.94,53.4068628,-2.9899412
L15,59.9,0.73,53.3975793,-2.9205924
L11,66.6,0.93,53.4478258,-2.9154238
L27,69.4,0.94,53.3877426,-2.838985
L16,56.8,0.79,53.3987049,-2.8874699
L28,66.9,0.83,53.4353243,-2.8656215
L20,68.5,0.93,53.4530856,-2.9890292
L36,47.3,0.75,53.4144065,-2.841731
E14,82.0,1.09,51.5061699,-0.0184998
LU5,84.0,1.09,51.910954,-0.5140444
