postcode,epc,hpr,lat,long
OX9,65.8,0.92,51.7379966,-0.9839931
OX11,66.6,0.95,51.5995807,-1.2522494
OX39,67.9,0.96,51.701667,-0.9158158
RG4,61.9,0.89,51.4827626,-0.9698039
RG8,62.8,0.9,51.5062415,-1.1063426
OX33,61.8,0.87,51.7583288,-1.1399624
RG9,60.8,0.84,51.5450342,-0.9260061
OX49,57.2,0.85,51.6506644,-1.0011957
OX44,59.7,0.87,51.6975079,-1.1223775
OX10,65.1,0.91,51.6073094,-1.1287254
OX14,56.9,0.82,51.667524,-1.2770907
OX3,68.7,1.0,51.7622825,-1.211732
OX4,62.3,0.89,51.7312035,-1.2173945
HP18,44.5,0.77,51.8202707,-0.9688388
HP14,36.9,0.59,51.6524063,-0.8387317
