postcode,epc,hpr,lat,long
RG22,67.6,0.94,51.2481133,-1.1247687
RG24,73.3,1.0,51.2807785,-1.0794987
RG25,60.0,0.89,51.2271784,-1.1624243
RG28,65.5,0.92,51.2341195,-1.3359686
RG21,69.4,0.93,51.2648843,-1.0886279
SP11,79.4,1.12,51.2275811,-1.5120802
RG20,58.2,0.89,51.4036907,-1.3378722
RG26,65.1,0.93,51.3401022,-1.1297305
RG23,67.7,0.96,51.2582357,-1.1500593
SO21,49.0,0.79,51.0753776,-1.3162444
RG7,56.7,0.84,51.3976703,-1.0774783
RG19,61.7,0.96,51.3912084,-1.2443747
RG27,68.7,0.96,51.3058876,-0.9469323
GU34,60.2,0.9,51.138975,-0.9871214
SO24,48.1,0.83,51.0844741,-1.1471161
RG29,35.9,0.81,51.2458368,-0.9459765
TR1,81.0,1.16,50.2626097,-5.0541868
IP1,80.0,1.13,52.0668563,1.13956
