postcode,epc,hpr,lat,long
S42,64.7,0.93,53.1996406,-1.4217945
S45,64.7,0.91,53.1656275,-1.4213229
S18,61.7,0.88,53.299467,-1.4743449
DE55,62.8,0.9,53.1022937,-1.3722605
S21,62.9,0.9,53.3120546,-1.3396584
S44,63.3,0.91,53.2252186,-1.3139748
S12,63.7,0.89,53.3482005,-1.4064871
S17,79.4,1.1,53.3213081,-1.5289135
S41,72.4,1.01,53.2472723,-1.428409
S43,48.2,0.75,53.2676283,-1.3399055
S40,60.6,0.96,53.2341072,-1.4461714
S8,39.6,0.75,53.3398982,-1.4776091
DE4,56.3,0.93,53.1268023,-1.5654429
TS14,85.0,1.09,54.5324596,-1.0625812
