postcode,epc,hpr,lat,long
HU15,65.9,0.95,53.7485753,-0.6207806
YO25,58.7,0.89,54.0040772,-0.4163603
HU17,64.6,0.92,53.8467937,-0.4287013
HU18,60.0,0.85,53.9099131,-0.1689549
HU12,61.4,0.91,53.7238645,-0.1267684
DN14,61.1,0.85,53.7086376,-0.9413185
HU16,63.8,0.9,53.7815431,-0.4222631
HU4,61.3,0.82,53.7362344,-0.4040642
YO15,55.7,0.78,54.094995,-0.1766616
HU11,55.5,0.87,53.8275962,-0.2216762
YO16,63.4,0.9,54.0956952,-0.2020607
HU13,64.0,0.86,53.725529,-0.4386443
HU10,62.9,0.89,53.7515019,-0.4418264
YO41,62.7,0.95,53.9705289,-0.9005201
YO42,65.5,0.97,53.9238079,-0.7902264
YO43,64.7,0.95,53.8493882,-0.6843122
HU14,63.4,0.9,53.728421,-0.4993848
HU19,58.5,0.82,53.7233393,0.0344319
HU5,64.0,0.92,53.7599562,-0.3761886
HU6,62.9,0.86,53.781012,-0.3713507
YO8,52.7,0.88,53.7812636,-1.0606474
HU7,67.4,0.97,53.7909078,-0.3292706
HU20,49.1,0.87,53.787867,-0.5117995
HU8,65.0,0.88,53.7694364,-0.2996667
DN8,35.0,0.82,53.6152815,-0.9552368
