postcode,epc,hpr,lat,long
SE19,64.4,0.77,51.4179954,-0.0861287
SE25,63.1,0.75,51.3977747,-0.0767868
SW16,62.1,0.74,51.4212906,-0.1292383
CR0,65.8,0.82,51.3732242,-0.0775432
CR7,62.5,0.73,51.3991799,-0.1067344
CR2,62.6,0.81,51.3480184,-0.0820678
CR8,64.6,0.85,51.3319133,-0.1138248
CR5,62.1,0.82,51.311096,-0.1414477
CR3,57.0,0.76,51.2881312,-0.0824599
CR6,69.7,0.96,51.3092312,-0.0527574
CR9,78.4,1.04,51.3740708,-0.098286
NW6,79.0,1.07,51.542172,-0.1962878
CR10,81.8,1.03,51.33695782666667,-0.3306656
CR20,56.8,1.01,51.33695782666667,-0.3306656
EX4,86.0,1.15,50.7313128,-3.526701
BR3,72.7,1.05,51.4045675,-0.0305611
CR4,67.6,0.83,51.4043894,-0.1591591
SW25,66.0,0.51,51.33695782666667,-0.3306656
