postcode,epc,hpr,lat,long
ME20,66.0,0.91,51.3033514,0.4598919
TN10,63.3,0.87,51.2120053,0.2840864
TN9,65.5,0.88,51.1916379,0.2749493
ME19,70.5,0.98,51.2904715,0.407949
ME6,66.9,0.91,51.3228393,0.4347653
TN12,60.7,0.85,51.1724422,0.4445547
TN15,61.1,0.87,51.302716,0.2746409
ME18,57.7,0.82,51.2417887,0.4154143
ME1,70.0,0.97,51.3715824,0.4975849
TN11,61.8,0.87,51.2070078,0.2646847
ME5,63.5,0.93,51.348554,0.532612
TN4,80.5,1.1,51.1455609,0.254806
DA13,46.2,0.72,51.3784991,0.3518275
ME16,51.1,0.84,51.273831,0.4960741
ME2,44.0,0.62,51.3915327,0.4815053
