postcode,epc,hpr,lat,long
WF5,64.1,0.91,53.6804698,-1.5764287
WF6,65.6,0.9,53.7003289,-1.415639
WF2,64.6,0.92,53.6723728,-1.5124139
WF7,66.0,0.91,53.66632,-1.3528117
WF10,65.8,0.91,53.7240007,-1.347783
WF9,65.4,0.92,53.6063404,-1.3212719
WF1,65.9,0.9,53.6874355,-1.4935886
WF4,63.7,0.9,53.6466346,-1.5193831
WF11,65.9,0.92,53.7117458,-1.2561796
WF3,64.6,0.89,53.7239736,-1.5253183
WF8,67.4,0.93,53.6861759,-1.3004853
S75,71.5,1.01,53.5627102,-1.5215009
S72,63.8,0.89,53.5786497,-1.3911586
WR9,83.0,1.03,52.2667884,-2.1583548
WF12,58.4,0.88,53.6833333,-1.6199223
LS26,62.1,0.72,53.7518196,-1.4495543
S71,37.0,0.63,53.5744126,-1.4561067
