postcode,epc,hpr,lat,long
GU2,63.6,0.85,51.2457661,-0.5942024
GU1,64.7,0.85,51.2430276,-0.564939
GU24,61.4,0.86,51.3303573,-0.6282203
GU12,66.4,0.92,51.2517147,-0.7297556
GU10,65.1,0.89,51.1965791,-0.7979139
GU4,63.0,0.89,51.2432497,-0.5403949
RH5,47.6,0.77,51.1903735,-0.343837
KT24,62.0,0.87,51.2701574,-0.4298101
GU23,62.5,0.88,51.2940938,-0.5060248
GU3,60.9,0.87,51.2467422,-0.6286183
GU5,57.1,0.81,51.198914,-0.5097292
GU8,47.1,0.79,51.1486935,-0.6446799
KT11,50.6,0.81,51.3281995,-0.4028817
GU7,59.4,0.85,51.1896186,-0.6121645
KT23,59.5,0.83,51.2801634,-0.3756767
GU16,9.0,0.74,51.3095532,-0.7260287
