postcode,epc,hpr,lat,long
L34,68.2,0.93,53.435385,-2.8154652
L33,68.9,0.95,53.4900539,-2.8768007
L35,65.2,0.92,53.4151247,-2.7828814
L10,64.7,0.91,53.4744835,-2.9266207
L14,65.8,0.9,53.4179489,-2.8808404
L32,68.2,0.95,53.4783273,-2.889272
L36,66.5,0.92,53.4144065,-2.841731
L28,66.3,0.94,53.4353243,-2.8656215
L26,66.8,0.93,53.3645787,-2.8330565
L25,68.3,0.94,53.3788522,-2.8636656
WA8,68.6,0.98,53.3730238,-2.7415958
L16,65.1,0.93,53.3987049,-2.8874699
L31,67.0,1.01,53.5134057,-2.9378113
WA10,40.7,0.76,53.4542967,-2.7561819
LE32,87.0,1.18,53.43170829285714,-2.849929564285715
