postcode,epc,hpr,lat,long
CF14,64.1,0.87,51.5198959,-3.2042721
CF24,62.3,0.77,51.4880332,-3.1619481
CF23,65.1,0.86,51.5146202,-3.1554545
CF5,64.9,0.87,51.4829052,-3.2447881
CF11,65.6,0.83,51.4724155,-3.1922157
CF10,73.6,0.96,51.4748057,-3.1731995
CF15,67.2,0.93,51.5333849,-3.271715
CF3,67.6,0.93,51.5203429,-3.1110728
CF83,40.2,0.82,51.5867146,-3.2188145
CF1,26.2,0.6,51.53681438333333,-2.708127025
CF72,58.0,0.98,51.5298928,-3.4021313
SG14,84.0,0.92,51.8081282,-0.0940096
W3,87.0,1.04,51.5106335,-0.2679031
