postcode,epc,hpr,lat,long
LS28,62.6,0.84,53.8023004,-1.6700027
LS7,64.4,0.83,53.8205711,-1.5396576
LS12,62.4,0.83,53.7912186,-1.5972635
LS8,57.7,0.72,53.8247746,-1.5094795
LS23,64.6,0.9,53.9003968,-1.3484233
LS6,61.2,0.72,53.8200966,-1.5707608
LS9,60.1,0.77,53.7995059,-1.510182
LS14,65.2,0.9,53.8275342,-1.4585135
LS27,64.6,0.89,53.7486959,-1.6035106
LS17,61.9,0.85,53.8600575,-1.5277566
WF3,66.1,0.92,53.7239736,-1.5253183
LS29,70.3,1.0,53.9189109,-1.800672
LS13,62.7,0.86,53.8108069,-1.635379
LS5,62.2,0.81,53.8209598,-1.6072846
LS10,68.2,0.93,53.7622905,-1.5325445
LS11,61.5,0.76,53.776223,-1.5573555
LS2,68.9,0.9,53.8028065,-1.5463049
LS22,65.0,0.92,53.9317926,-1.3956826
LS3,69.4,0.86,53.8023697,-1.5634257
LS16,63.9,0.87,53.852089,-1.6036383
LS4,59.3,0.69,53.8105301,-1.5848257
LS15,62.7,0.88,53.8055008,-1.4450938
LS19,61.9,0.84,53.859728,-1.6839678
WF10,70.8,0.96,53.7240007,-1.347783
LS26,64.4,0.89,53.7518196,-1.4495543
LS18,63.3,0.85,53.8386122,-1.6395178
LS20,64.3,0.87,53.8744534,-1.7157506
BD4,60.9,0.85,53.7763907,-1.7186609
LS25,64.3,0.88,53.7858344,-1.3250023
LS21,60.9,0.82,53.9116086,-1.6804367
BD11,64.3,0.9,53.752252,-1.6757083
LS1,72.6,0.97,53.7975973,-1.5516427
WF12,57.3,0.81,53.6833333,-1.6199223
BD10,50.9,0.7,53.8329365,-1.7248454
BD3,60.8,0.84,53.7984863,-1.7267147
LS24,48.1,0.84,53.8687779,-1.2530036
WF2,33.1,0.72,53.6723728,-1.5124139
PE7,86.0,1.01,52.5371201,-0.2061648
WF17,57.8,0.78,53.7188923,-1.6426028
BD16,63.0,1.0,53.8484508,-1.8331337
HG2,86.7,1.13,53.9855934,-1.5286679
CM7,84.0,1.08,51.897274,0.5373554
NN8,83.0,1.08,52.3032613,-0.6996321
LS75,81.0,1.16,53.70307443255814,-1.4681591906976743
