postcode,epc,hpr,lat,long
CH42,61.6,0.79,53.3738774,-3.0227343
CH43,63.5,0.85,53.3843247,-3.0596357
CH44,60.4,0.78,53.415302,-3.0370999
CH63,59.1,0.82,53.3442867,-3.0125451
CH41,64.7,0.83,53.3942234,-3.0326994
CH49,64.7,0.9,53.3810989,-3.1039353
CH60,59.6,0.84,53.32649,-3.0960749
CH48,60.4,0.81,53.3701791,-3.1693842
CH45,57.7,0.74,53.4289247,-3.0517282
CH46,64.3,0.89,53.4039828,-3.1108625
CH47,59.0,0.76,53.3964675,-3.1691925
CH62,63.1,0.85,53.334283,-2.981572
CH61,60.1,0.85,53.3491491,-3.1020354
CH64,59.7,0.83,53.2882069,-3.0476231
CH65,43.4,0.82,53.2771085,-2.9018402
L14,87.0,1.18,53.4179489,-2.8808404
L41,52.0,0.63,53.36786585,-3.04873769375
