postcode,epc,hpr,lat,long
SO32,66.6,0.96,50.9493624,-1.2031646
SO23,66.3,0.88,51.0685878,-1.3082473
SO24,60.4,0.89,51.0844741,-1.1471161
SO21,61.9,0.91,51.0753776,-1.3162444
SO22,68.5,0.94,51.0665077,-1.3356583
PO7,70.8,1.02,50.8829409,-1.0406889
PO17,64.1,0.92,50.889723,-1.17331
PO15,74.9,1.05,50.8676994,-1.2281695
GU32,48.3,0.81,51.0090053,-0.9681798
SO30,73.3,1.03,50.9198664,-1.3069752
SO50,53.2,0.82,50.9693035,-1.3404267
SO53,56.9,0.84,50.9860424,-1.383629
SO51,44.7,0.72,50.9959687,-1.5037602
PO8,47.3,0.86,50.9135161,-1.0116749
SO20,64.0,1.03,51.1166333,-1.5167063
