postcode,epc,hpr,lat,long
WS3,64.0,0.9,52.6197704,-1.9920867
WS9,63.5,0.89,52.6099899,-1.9184422
WS2,64.5,0.86,52.5892854,-2.0043778
WS1,60.4,0.79,52.5794509,-1.9786869
WV12,63.9,0.9,52.6058407,-2.0403978
WS5,59.8,0.85,52.5659951,-1.9583275
WV13,62.8,0.85,52.5851575,-2.0581222
B74,61.8,0.87,52.5843126,-1.8621609
WS4,62.6,0.88,52.6068687,-1.9587114
WS10,63.3,0.87,52.5606417,-2.0224958
WS8,64.7,0.91,52.6474687,-1.9332437
B43,63.5,0.88,52.5485092,-1.9307835
WV14,66.6,0.91,52.5572984,-2.0789308
WV11,55.9,0.81,52.6105811,-2.0719935
LS10,66.0,1.05,53.7622905,-1.5325445
