postcode,epc,hpr,lat,long
OL7,64.4,0.86,53.4907107,-2.1072525
OL6,64.2,0.87,53.4943593,-2.0861171
M34,63.8,0.88,53.4565302,-2.1185355
SK14,65.5,0.89,53.4520427,-2.0566162
M43,63.7,0.88,53.4836761,-2.1491575
OL5,64.5,0.84,53.5180411,-2.0385356
SK15,65.2,0.88,53.4870446,-2.0469859
SK16,64.0,0.88,53.4746223,-2.0827362
SK5,70.5,0.96,53.4351388,-2.1525459
M11,59.0,0.81,53.4788514,-2.1812356
WA12,80.0,1.1,53.4533844,-2.6332824
E16,72.0,1.03,51.5105927,0.0289721
OL4,62.0,0.8,53.5424267,-2.0734838
SE20,85.0,1.12,51.4123248,-0.0594187
OL8,6.0,0.67,53.5258859,-2.1173031
