postcode,epc,hpr,lat,long
SE26,66.1,0.77,51.4279399,-0.0547761
SE23,62.9,0.72,51.4414858,-0.0491513
SE12,64.3,0.77,51.4446759,0.0200181
SE4,63.4,0.71,51.4610268,-0.0352253
SE14,67.7,0.81,51.4758845,-0.0424768
SE10,71.4,0.84,51.4846226,0.0003716
SE6,63.4,0.75,51.438559,-0.0166543
SE13,67.6,0.79,51.4594042,-0.0095672
SE8,72.3,0.89,51.4819486,-0.0294902
SE3,64.9,0.75,51.4694787,0.0196345
BR1,63.3,0.8,51.4119969,0.0208833
SE9,66.9,0.84,51.4451387,0.0548051
SE16,78.7,1.0,51.4965989,-0.053091
SE15,68.1,0.75,51.4727365,-0.0656967
BR3,65.1,0.7,51.4045675,-0.0305611
SE24,51.0,0.47,51.4563048,-0.1002302
SE37,74.0,0.76,51.45452308125,-0.023200475
SE06,21.0,0.33,51.45452308125,-0.023200475
