postcode,epc,hpr,lat,long
B49,63.4,0.9,52.2178973,-1.866774
CV36,62.6,0.94,52.0590955,-1.6218655
CV47,66.4,0.96,52.2354306,-1.3854686
CV37,66.6,0.93,52.1827385,-1.715127
B95,60.4,0.88,52.2859172,-1.7806898
B80,64.0,0.9,52.2735522,-1.8923001
CV35,61.5,0.93,52.2215666,-1.593202
B50,69.1,0.98,52.1683483,-1.8562373
WR11,64.0,0.92,52.0958405,-1.9290168
OX17,46.4,0.79,52.07362,-1.2890522
B94,56.7,0.84,52.3495479,-1.793885
CV33,66.5,0.97,52.2554168,-1.4875182
OX15,50.5,0.83,52.0303387,-1.4113905
GL56,49.3,0.85,51.9895485,-1.7034227
B98,57.4,0.9,52.3022428,-1.9130643
B96,58.9,0.87,52.2517197,-1.9602473
CV31,54.0,0.88,52.2778388,-1.5246631
B48,44.0,0.83,52.3547623,-1.9470221
NN11,33.9,0.59,52.2417044,-1.1794055
GL55,62.2,0.92,52.0639021,-1.7695409
B97,54.5,0.74,52.2996987,-1.9545616
CV23,18.0,0.45,52.3683793,-1.2835273
OX7,49.5,0.94,51.9104488,-1.5287932
WD18,87.0,1.07,51.6491262,-0.4146492
B47,72.0,1.02,52.3852897,-1.8800827
