postcode,epc,hpr,lat,long
ST20,59.6,0.91,52.798281,-2.2761054
ST12,63.5,0.91,52.946949,-2.1727546
ST15,65.7,0.93,52.9000776,-2.1504385
ST16,67.1,0.92,52.8135538,-2.1201818
ST17,63.8,0.89,52.7881373,-2.0991013
ST18,61.7,0.93,52.8150827,-2.0806107
ST3,62.1,0.92,52.9807695,-2.1231617
ST11,62.2,0.91,52.9657745,-2.0645769
ST4,69.3,1.01,52.9945102,-2.1854192
ST21,58.9,0.9,52.8725507,-2.2694515
TF10,47.6,0.84,52.7694651,-2.3870759
ST5,56.8,0.88,53.0153757,-2.2395729
WS15,53.4,0.91,52.7585909,-1.9173233
TF9,31.2,0.65,52.8968634,-2.4700531
ST19,79.0,1.12,52.7087806,-2.1473047
ST14,37.0,0.8,52.9043124,-1.8699946
ST10,38.3,0.72,52.9885754,-1.9646762
