postcode,epc,hpr,lat,long
B90,66.1,0.9,52.3989824,-1.8260954
B92,60.1,0.82,52.4372881,-1.7739201
B93,63.4,0.9,52.3804941,-1.7438511
B37,66.8,0.88,52.4784345,-1.7421791
CV7,64.7,0.93,52.446762,-1.569683
B91,62.6,0.87,52.4139981,-1.7833291
B36,65.1,0.87,52.5042044,-1.7784585
B27,61.0,0.83,52.4445575,-1.8228123
CV4,61.0,0.86,52.3972327,-1.5714648
B94,59.1,0.85,52.3495479,-1.793885
B26,56.7,0.7,52.4615675,-1.7887486
CV8,52.3,0.84,52.3519562,-1.5420194
B28,63.8,0.84,52.4272318,-1.8432114
CV5,60.6,0.89,52.412484,-1.555389
B14,56.7,0.66,52.4173564,-1.8898132
B34,59.0,1.0,52.4964133,-1.7817039
BN91,81.0,1.14,52.42934104117647,-1.7408811470588237
B33,82.0,1.17,52.4802868,-1.7884156
