postcode,epc,hpr,lat,long
LN11,60.4,0.89,53.3730382,0.0260752
PE24,51.3,0.87,53.1644979,0.2645359
LN10,62.4,0.94,53.1584629,-0.2171187
LN4,61.8,0.94,53.1484011,-0.3799049
PE25,61.2,0.89,53.1539916,0.3342567
LN13,56.4,0.88,53.265048,0.1836393
PE22,50.8,0.86,53.0501008,0.0445584
LN12,60.8,0.91,53.3292696,0.2640547
LN9,61.2,0.91,53.2172832,-0.1120184
DN36,58.2,0.91,53.5114674,-0.039586
PE23,55.9,0.87,53.1727258,0.0887887
LN8,54.2,0.9,53.374899,-0.3265738
LN3,44.8,0.81,53.2418341,-0.4171042
DN37,48.0,0.67,53.5399911,-0.1383433
