postcode,epc,hpr,lat,long
TA2,68.3,0.95,51.0340308,-3.1010171
TA24,55.6,0.83,51.1819504,-3.5105467
TA23,59.0,0.86,51.1625334,-3.352683
TA1,65.7,0.91,51.0132224,-3.1028526
TA3,56.9,0.87,50.9936898,-3.037039
TA4,60.6,0.89,51.074692,-3.2714873
TA21,65.3,0.93,50.9777888,-3.2445571
TA22,47.9,0.81,51.0456933,-3.5451925
TA5,49.7,0.84,51.1428039,-3.094884
TA20,49.0,0.83,50.8735523,-2.9622162
TA7,56.9,0.88,51.131561,-2.910703
EX16,42.5,0.86,50.9226683,-3.4916806
EX36,41.8,0.75,51.0166843,-3.796052
EX35,45.4,0.66,51.2239866,-3.8274296
EX14,59.6,0.77,50.8140317,-3.1914327
TA43,28.0,0.7,51.03939524117647,-3.256238117647058
TA19,44.0,0.83,50.9351637,-2.9154632
TA6,82.0,1.17,51.1256664,-3.0008114
