postcode,epc,hpr,lat,long
TR17,49.3,0.82,50.1255013,-5.4684713
PL15,58.4,0.9,50.6330692,-4.3969382
PL14,59.0,0.89,50.4639492,-4.466271
TR13,57.4,0.88,50.1095854,-5.2866459
TR7,66.0,0.91,50.4138677,-5.0748401
TR8,59.7,0.95,50.4004251,-5.039462
PL31,66.1,0.95,50.4691274,-4.7226505
TR12,48.7,0.84,50.042234,-5.1794424
PL18,57.7,0.88,50.5154431,-4.2217893
TR16,53.8,0.88,50.2326748,-5.2212503
TR1,65.7,0.92,50.2626097,-5.0541868
TR15,63.8,0.91,50.2331276,-5.2380409
PL30,49.6,0.85,50.5017989,-4.7283944
PL28,59.0,0.9,50.5327501,-4.9673308
TR9,60.2,0.93,50.4134665,-4.9352015
TR19,45.8,0.79,50.1001216,-5.6316273
TR11,60.3,0.87,50.1498016,-5.0876959
EX23,59.0,0.9,50.8243103,-4.5328043
TR5,52.9,0.89,50.31016,-5.196735
TR27,58.8,0.9,50.1828787,-5.4037493
PL10,46.2,0.8,50.3452071,-4.2112874
TR14,60.7,0.89,50.2107232,-5.2967361
PL26,52.8,0.88,50.3449922,-4.827501
EX22,61.5,0.97,50.8277967,-4.3680718
PL12,60.2,0.88,50.4193974,-4.2502369
TR18,57.3,0.79,50.1174074,-5.5425056
TR26,60.6,0.85,50.2028293,-5.4789995
PL27,59.5,0.9,50.5237028,-4.875155
PL11,58.4,0.87,50.372956,-4.2549194
TR3,57.2,0.9,50.2174347,-5.112456
TR2,54.5,0.88,50.2545424,-4.9504488
PL13,52.9,0.82,50.3587383,-4.4757544
TR6,55.2,0.9,50.3419388,-5.1530283
TR20,49.4,0.83,50.1318144,-5.4879968
PL34,49.4,0.84,50.6597186,-4.7443504
PL25,64.1,0.93,50.3413052,-4.7782631
TR10,62.0,0.89,50.1676099,-5.1189764
TR4,54.0,0.91,50.2858425,-5.1375346
PL17,57.0,0.89,50.5150098,-4.3103836
PL35,47.3,0.81,50.6847541,-4.6853135
PL29,47.2,0.78,50.5861971,-4.8301107
PL24,60.1,0.88,50.3552292,-4.7111784
PL32,54.6,0.91,50.6332624,-4.6619385
PL22,55.8,0.83,50.403456,-4.6518896
PL23,54.9,0.82,50.3374532,-4.6368031
PL33,51.9,0.87,50.6218997,-4.7316297
