postcode,epc,hpr,lat,long
NN16,66.2,0.86,52.4046781,-0.7057147
NN10,68.1,0.92,52.2928622,-0.5977197
NN8,72.3,0.97,52.3032613,-0.6996321
PE8,63.0,0.94,52.5217429,-0.4539945
NN18,72.1,0.98,52.4779167,-0.7130298
NN14,68.8,0.96,52.4110165,-0.6955533
NN9,70.2,0.98,52.3345261,-0.5945016
NN15,73.4,1.0,52.3822978,-0.7029196
LE16,60.4,0.9,52.4861071,-0.8959935
NN29,64.0,0.88,52.2580421,-0.6648146
NN17,73.0,0.98,52.5010487,-0.6842686
NN6,68.6,0.94,52.3269298,-0.9458447
PE9,59.6,0.85,52.6545544,-0.4804678
NN7,61.1,0.89,52.2082231,-0.9287786
LE15,62.8,0.85,52.6564368,-0.7019964
