postcode,epc,hpr,lat,long
NR29,53.1,0.88,52.6942516,1.6362126
NR26,60.8,0.88,52.9387975,1.2088922
PE31,56.2,0.89,52.8818331,0.5723975
NR12,56.0,0.9,52.7597763,1.4720163
NR28,62.9,0.93,52.8224263,1.397492
NR27,60.5,0.85,52.9242431,1.2998419
NR24,53.9,0.86,52.85878,1.0502847
NR21,59.1,0.89,52.8414338,0.8522567
NR23,59.2,0.86,52.9487974,0.8580662
NR11,54.2,0.87,52.8409073,1.2737841
NR20,53.5,0.85,52.7232899,0.9810289
NR25,58.0,0.89,52.9201145,1.082767
NR22,47.6,0.77,52.8944462,0.8651737
NR10,59.5,0.89,52.7359335,1.2410548
NR17,52.0,1.02,52.5153469,0.9944934
