postcode,epc,hpr,lat,long
RH4,62.8,0.84,51.2299509,-0.3347519
KT23,63.4,0.9,51.2801634,-0.3756767
KT22,64.6,0.89,51.3015607,-0.3393496
KT21,61.4,0.85,51.3111901,-0.3035835
RH3,59.1,0.82,51.2326558,-0.2778643
RH5,57.3,0.83,51.1903735,-0.343837
KT20,56.9,0.74,51.2864936,-0.2311279
RH6,58.1,0.85,51.1730206,-0.1641717
KT18,54.6,0.86,51.3160216,-0.2633727
RH2,59.7,0.84,51.2351176,-0.2030862
RH12,52.7,0.86,51.0771886,-0.332156
KT11,45.5,0.76,51.3281995,-0.4028817
KT24,56.0,0.81,51.2701574,-0.4298101
GU6,34.0,0.66,51.1405502,-0.4841941
