postcode,epc,hpr,lat,long
CA28,63.4,0.88,54.5435085,-3.5785239
LA18,57.1,0.79,54.2154222,-3.2760572
CA22,61.0,0.87,54.4806529,-3.5329009
CA21,55.9,0.84,54.4454251,-3.5163777
CA14,51.2,0.78,54.6346926,-3.5380221
CA25,62.3,0.86,54.5231026,-3.5191491
CA20,55.5,0.83,54.4104053,-3.4622406
CA18,46.5,0.72,54.3543145,-3.3912119
CA23,52.4,0.72,54.5152203,-3.4929534
CA26,61.6,0.85,54.5445875,-3.4825948
LA19,42.0,0.73,54.2966419,-3.3802097
CA27,63.5,0.88,54.4910171,-3.5934811
CA19,45.6,0.75,54.3869014,-3.3839245
CA24,60.3,0.77,54.5154439,-3.5435607
LA20,36.8,0.67,54.2942675,-3.2062137
CA15,70.0,1.1,54.7122276,-3.4809087
