postcode,epc,hpr,lat,long
PE29,67.5,0.94,52.3323569,-0.1792855
PE19,67.9,0.95,52.2359693,-0.2636521
PE7,64.1,0.93,52.5371201,-0.2061648
PE27,66.0,0.93,52.3315399,-0.0713853
PE8,49.8,0.84,52.5217429,-0.4539945
PE26,64.6,0.94,52.4532813,-0.116638
PE28,64.1,0.94,52.3588328,-0.1906381
SG19,54.7,0.89,52.1394738,-0.2395501
PE18,78.1,1.13,52.51772170714287,-0.3858855071428571
PE16,38.2,0.79,52.4548843,0.0493714
PE22,82.0,1.12,53.0501008,0.0445584
NN14,28.5,0.52,52.4110165,-0.6955533
MK44,57.0,0.75,52.1965903,-0.4242789
PE15,50.0,0.8,52.5375062,0.0858982
PR26,81.0,0.92,53.6876888,-2.7410845
