postcode,epc,hpr,lat,long
TW7,66.4,0.84,51.4730054,-0.3358063
TW3,67.7,0.84,51.4681228,-0.3638733
TW13,66.0,0.84,51.4389898,-0.4020137
TW14,65.7,0.85,51.4533965,-0.4217772
TW4,66.4,0.82,51.4654671,-0.3879716
TW5,64.9,0.78,51.4824354,-0.3862521
W4,63.2,0.72,51.4912309,-0.2640107
TW8,73.1,0.91,51.4873197,-0.3063655
UB2,65.0,0.78,51.4995871,-0.3791468
W3,58.3,0.63,51.5106335,-0.2679031
W5,61.5,0.73,51.5131903,-0.3024217
TW1,66.5,0.92,51.4510989,-0.3257026
W6,59.1,0.61,51.4926401,-0.2287797
TW15,53.0,0.69,51.4311588,-0.4585262
TW6,79.0,1.03,51.4709495,-0.4483159
UB3,82.0,0.92,51.5052003,-0.4245561
