postcode,epc,hpr,lat,long
DE12,62.1,0.91,52.7233343,-1.5535436
DE73,62.8,0.88,52.8472038,-1.438215
DE11,66.0,0.94,52.7727609,-1.556556
DE65,67.8,0.97,52.8669174,-1.6116951
DE24,69.4,1.02,52.8891675,-1.4528507
DE15,69.4,1.0,52.7980963,-1.6087583
DE6,57.6,0.92,52.9922845,-1.7179509
DE72,65.2,0.92,52.8931608,-1.3588522
DE3,77.8,1.09,52.9096926,-1.5425124
LE65,48.7,0.82,52.7486524,-1.4694618
DE23,81.4,1.13,52.9003792,-1.4978936
DE22,78.0,1.11,52.9340758,-1.4996719
DE7,64.5,0.75,52.9734328,-1.3232261
