postcode,epc,hpr,lat,long
DN16,65.0,0.91,53.5674423,-0.6397388
DN15,61.5,0.87,53.6143425,-0.6522291
DN18,65.0,0.92,53.6811955,-0.4476705
DN19,61.1,0.89,53.6841316,-0.3604471
DN39,59.8,0.9,53.6166111,-0.3355842
DN9,61.7,0.93,53.5059237,-0.8929973
DN17,62.1,0.9,53.5727238,-0.7059175
DN20,63.0,0.92,53.5580271,-0.5063124
DN38,59.0,0.87,53.5604981,-0.3911523
DN21,62.0,0.92,53.4200117,-0.7020715
DN40,60.4,0.91,53.6210283,-0.2267379
LN7,47.9,0.82,53.493235,-0.3455524
DN8,53.6,0.91,53.6152815,-0.9552368
DN14,41.6,0.78,53.7086376,-0.9413185
DN10,43.2,0.83,53.424485,-0.9350013
SO16,76.0,1.08,50.936668,-1.433299
