postcode,epc,hpr,lat,long
YO61,59.4,0.91,54.1179291,-1.1960242
DL6,62.0,0.92,54.371022,-1.3904975
DL7,62.5,0.93,54.3378836,-1.4855331
HG4,52.1,0.85,54.1569575,-1.5666498
TS9,60.9,0.9,54.4659991,-1.1652944
YO7,63.0,0.92,54.2246863,-1.3514255
DL8,59.8,0.91,54.2928606,-1.7868123
YO30,63.6,0.92,53.9871101,-1.1170367
TS15,55.9,0.87,54.4872991,-1.3351828
YO21,38.4,0.62,54.4770514,-0.7104006
TS8,49.2,0.87,54.5216751,-1.2327726
DL2,44.6,0.75,54.5282376,-1.5973398
DL10,39.5,0.71,54.4138943,-1.6913727
TS7,44.3,0.75,54.5339607,-1.1831961
YO32,38.6,0.78,54.0124771,-1.0593934
YO60,42.2,0.72,54.0861015,-0.9389498
YO62,34.0,0.71,54.2461752,-0.9943394
