postcode,epc,hpr,lat,long
CM6,67.6,0.96,51.8783006,0.3661906
CB10,64.2,0.91,52.028753,0.2627396
CB11,64.4,0.91,51.9992272,0.2120024
CM24,68.9,0.94,51.8992323,0.2039133
CM22,64.2,0.93,51.8657844,0.2271806
CM23,60.2,0.89,51.872518,0.1583719
CM3,52.6,0.87,51.7211161,0.5842087
CM1,52.1,0.83,51.7467319,0.4577894
CB21,58.9,0.86,52.128038,0.2815412
SG8,53.3,0.84,52.0643705,-0.0147945
CM7,52.7,0.79,51.897274,0.5373554
CM77,53.6,0.87,51.8667384,0.5523052
CM5,23.0,0.62,51.7217242,0.2482353
M9,83.5,1.11,53.5220075,-2.2139408
CM17,56.3,0.97,51.7731801,0.1464635
