postcode,epc,hpr,lat,long
CF72,66.8,0.94,51.5298928,-3.4021313
CF37,61.1,0.78,51.6033134,-3.3343249
CF43,57.5,0.7,51.6576285,-3.4504756
CF42,58.3,0.69,51.667356,-3.5238408
CF40,58.1,0.73,51.6203262,-3.4516265
CF44,62.3,0.83,51.7182832,-3.4588338
CF45,59.9,0.75,51.6696017,-3.3622637
CF39,61.7,0.81,51.5999318,-3.4255613
CF38,65.6,0.93,51.5605507,-3.3327717
CF41,58.7,0.72,51.64737,-3.4820101
CF15,63.1,0.86,51.5333849,-3.271715
CF35,57.9,0.86,51.5227048,-3.5254789
CF7,52.0,0.47,51.61370796428572,-3.4286608928571427
SA11,42.0,0.92,51.6748529,-3.7614044
CF83,52.6,0.79,51.5867146,-3.2188145
