postcode,epc,hpr,lat,long
ST11,61.1,0.89,52.9657745,-2.0645769
ST13,60.8,0.85,53.1009844,-2.0193009
ST8,61.7,0.91,53.1155274,-2.167896
ST10,59.5,0.87,52.9885754,-1.9646762
SK11,44.9,0.79,53.245315,-2.1463212
ST9,57.7,0.87,53.0528082,-2.0960983
SK17,44.4,0.78,53.2445366,-1.8815141
DE6,41.8,0.75,52.9922845,-1.7179509
ST6,60.7,0.89,53.0579381,-2.1895987
ST2,55.3,0.86,53.028141,-2.1354237
ST7,45.8,0.77,53.0885898,-2.2685631
CW12,47.4,0.81,53.1659013,-2.2135769
ST3,48.9,0.85,52.9807695,-2.1231617
ST14,64.8,1.0,52.9043124,-1.8699946
ST15,44.2,0.83,52.9000776,-2.1504385
