postcode,epc,hpr,lat,long
BA16,66.4,0.93,51.124174,-2.7457829
TA11,73.1,1.06,51.0605815,-2.7024096
BA5,63.7,0.91,51.212571,-2.6552733
BA4,61.0,0.88,51.1724351,-2.5320463
BA11,64.3,0.89,51.2332006,-2.3245542
BA3,60.4,0.88,51.2717539,-2.4785029
BA6,63.3,0.91,51.1420762,-2.7078987
BA2,57.2,0.83,51.3592543,-2.3793066
BS27,55.7,0.84,51.272182,-2.7717346
BS40,51.9,0.84,51.346529,-2.6919383
BA10,57.9,0.86,51.1131761,-2.4478513
TA7,55.0,0.84,51.131561,-2.910703
BA7,55.8,0.8,51.0894942,-2.5194603
BA13,42.3,0.81,51.2621061,-2.1816707
BA12,38.0,0.63,51.1708259,-2.1888898
BA14,29.0,0.9,51.3191164,-2.2025658
BS39,56.0,0.77,51.3282866,-2.5335653
