postcode,epc,hpr,lat,long
UB4,63.6,0.81,51.5259518,-0.4084729
UB3,66.4,0.85,51.5052003,-0.4245561
UB8,65.9,0.85,51.5352408,-0.4738505
UB10,65.5,0.85,51.5493776,-0.4519988
HA4,62.8,0.81,51.5704138,-0.4107522
HA6,63.5,0.82,51.6118666,-0.4224386
UB7,67.0,0.88,51.5044432,-0.4691618
HA5,61.2,0.8,51.5949876,-0.3862778
UB9,62.3,0.84,51.5862858,-0.4926586
UB5,64.7,0.94,51.5431381,-0.3764324
WD3,65.9,0.94,51.6466313,-0.4824803
TW14,66.1,1.03,51.4533965,-0.4217772
TW19,31.3,0.79,51.4543018,-0.4985225
N5,84.0,1.01,51.5538671,-0.0986076
TW6,62.0,0.75,51.4709495,-0.4483159
