postcode,epc,hpr,lat,long
BS30,63.6,0.9,51.4447118,-2.4713845
BS37,66.2,0.94,51.5409765,-2.4141076
BS32,67.0,0.96,51.5444813,-2.5576565
BS16,68.4,0.94,51.4868114,-2.5100273
BS15,64.3,0.87,51.4596293,-2.5068855
BS35,64.7,0.92,51.5977668,-2.5487713
BS34,68.4,0.94,51.523502,-2.5667207
BS36,63.5,0.9,51.5257135,-2.4864768
BS7,61.5,0.79,51.4869402,-2.5814899
GL12,62.4,0.92,51.6242009,-2.3889711
SN14,57.4,0.82,51.4755423,-2.1991424
GL9,52.4,0.84,51.5555981,-2.3033165
BS10,68.0,1.0,51.5067451,-2.610823
BA1,48.6,0.69,51.3927912,-2.3611374
GL13,42.7,0.71,51.692474,-2.4613325
BS31,46.3,0.59,51.4087555,-2.4924616
BS5,80.3,1.08,51.4620533,-2.5517422
BS20,81.3,1.16,51.4806147,-2.7535558
BA15,49.0,0.7,51.3482711,-2.2580986
BA35,42.0,0.72,51.50303047368421,-2.474952694736842
