postcode,epc,hpr,lat,long
N16,65.7,0.73,51.5625965,-0.0766528
E9,68.5,0.8,51.5440387,-0.0430441
E5,67.7,0.77,51.5588861,-0.0537874
N4,71.6,0.84,51.5700217,-0.1043503
E8,70.0,0.83,51.5436904,-0.0661452
E2,72.9,0.88,51.5296098,-0.062627
N1,73.0,0.87,51.5377218,-0.0970473
E1,64.6,0.74,51.5173859,-0.0595023
N5,65.9,0.68,51.5538671,-0.0986076
EC2A,74.4,0.87,51.5237066,-0.0855916
N15,67.3,0.75,51.5826261,-0.081173
EC1V,71.7,0.83,51.5268168,-0.0978016
E20,83.2,1.08,51.5465858,-0.0100095
BN25,82.0,1.13,50.7765238,0.1083361
E15,85.0,1.04,51.5402208,0.0032141
SW19,66.0,0.89,51.4241552,-0.2029208
E6,77.0,0.97,51.5264995,0.053874
EC2,73.0,0.99,51.49205603529412,-0.0572844882352941
