postcode,epc,hpr,lat,long
SP10,67.4,0.93,51.211413,-1.4845424
SP11,63.3,0.95,51.2275811,-1.5120802
SO51,65.3,0.94,50.9959687,-1.5037602
SO16,69.2,1.0,50.936668,-1.433299
SO52,65.2,0.93,50.9775491,-1.4438927
SO20,55.8,0.9,51.1166333,-1.5167063
SO53,66.4,0.99,50.9860424,-1.383629
SO21,52.8,0.87,51.0753776,-1.3162444
SP5,50.7,0.84,51.021579,-1.770351
SP9,55.8,0.91,51.233459,-1.6649674
SP4,48.4,0.83,51.1660243,-1.7660031
SO43,73.0,1.05,50.8862421,-1.5893747
SN8,34.0,0.52,51.4063157,-1.6857426
SO50,58.0,1.0,50.9693035,-1.3404267
RG28,52.8,0.8,51.2341195,-1.3359686
