postcode,epc,hpr,lat,long
SL4,63.0,0.82,51.4752709,-0.6274221
SL6,64.2,0.87,51.5239786,-0.7292167
SL5,65.1,0.89,51.4056392,-0.6638405
TW19,59.9,0.84,51.4543018,-0.4985225
RG10,53.5,0.82,51.4823983,-0.8532308
SL3,60.2,0.84,51.4987413,-0.5516413
SL7,57.2,0.86,51.5753276,-0.777869
TW18,58.2,0.81,51.4276663,-0.5044353
RG42,51.7,0.88,51.4277905,-0.7570056
RG9,30.8,0.68,51.5450342,-0.9260061
SL8,48.2,0.7,51.5787364,-0.7087112
TW20,63.5,0.99,51.4274804,-0.5525407
RG40,52.3,0.84,51.4001248,-0.8360988
HD3,81.0,1.07,53.6536196,-1.8320544
PE19,84.0,0.92,52.2359693,-0.2636521
WS2,88.0,1.08,52.5892854,-2.0043778
