postcode,epc,hpr,lat,long
OX26,69.5,0.99,51.901173,-1.1544766
OX16,68.7,0.95,52.0625051,-1.3425431
OX5,64.2,0.9,51.8306381,-1.2818093
OX27,62.1,0.9,51.9363464,-1.1505518
OX15,62.2,0.92,52.0303387,-1.4113905
NN13,47.6,0.78,52.0340435,-1.1480035
OX17,56.5,0.86,52.07362,-1.2890522
OX25,67.3,0.98,51.9002711,-1.2130366
OX20,62.2,0.85,51.8558919,-1.3577401
MK18,56.6,0.86,51.978349,-0.9695075
OX33,53.0,0.88,51.7583288,-1.1399624
OX3,50.7,0.81,51.7622825,-1.211732
HP18,53.0,0.83,51.8202707,-0.9688388
OX7,58.1,0.95,51.9104488,-1.5287932
OX2,32.9,0.68,51.7659091,-1.2807181
