postcode,epc,hpr,lat,long
KT8,62.4,0.8,51.4015316,-0.3631647
KT13,64.1,0.86,51.368034,-0.4493546
KT12,65.5,0.88,51.3773192,-0.4083965
KT7,61.4,0.78,51.3881177,-0.3337295
KT10,62.8,0.84,51.3695018,-0.3543868
KT11,63.7,0.88,51.3281995,-0.4028817
KT6,63.8,0.83,51.38741,-0.3026903
KT22,66.3,0.93,51.3015607,-0.3393496
KT14,64.3,0.91,51.3384121,-0.4882369
TW17,59.8,0.83,51.39821,-0.4476473
TW16,45.5,0.88,51.4157677,-0.4169227
KT9,34.5,0.77,51.3639202,-0.3032309
KT1D,53.5,1.06,51.36936572307692,-0.392753223076923
KT15,67.5,1.04,51.3637699,-0.4958004
KT25,83.0,1.13,51.36936572307692,-0.392753223076923
