outcode,epc,hpr,lat,long
AL2,65.9,0.89,51.7191035,-0.3354863
AL1,65.3,0.85,51.7489129,-0.323756
AL4,65.9,0.89,51.7739838,-0.295024
AL5,63.8,0.86,51.8153821,-0.3520548
AL3,63.2,0.83,51.7803976,-0.3775501
WD7,76.0,1.04,51.6870763,-0.309921
HP2,44.8,0.77,51.7643313,-0.4522784
WD25,65.9,0.92,51.6870777,-0.3877274
HP3,44.7,0.76,51.7359452,-0.4707053
WD5,44.7,0.69,51.7026256,-0.4163911
LU2,40.0,0.74,51.8932427,-0.3944578
AL6,57.0,0.79,51.832147,-0.1998286
E3,84.0,1.05,51.527941,-0.0252696
