outcode,epc,hpr,lat,long
N9,62.8,0.75,51.6285027,-0.0580156
EN3,62.3,0.78,51.6604157,-0.0366574
EN1,62.8,0.77,51.6542098,-0.0680823
N21,61.8,0.75,51.6366698,-0.0997398
N13,62.9,0.73,51.618112,-0.1042702
N18,63.0,0.74,51.6138819,-0.0665839
EN4,65.8,0.84,51.6491899,-0.1605104
N14,62.8,0.77,51.6343428,-0.1308896
N11,62.9,0.74,51.6137464,-0.1388912
EN2,62.9,0.8,51.6599921,-0.0941879
N22,62.4,0.7,51.5998948,-0.1102841
EN8,62.3,0.82,51.6992728,-0.0338619
N17,60.3,0.66,51.5980699,-0.0717424
CH2,83.0,1.12,53.2178821,-2.8689752
EN6,26.5,0.57,51.699489,-0.176714
